Language	Degree of endangerment	Level of endangerment	Number of speakers	Latitude	Longitude	Community Marriage Organisation	Name	fSD-dis-nondis	mSD-dis-nondis	agriculture				ID	Name in English	Community Marriage Organisation	Countries	Country codes alpha 3	ISO639-3 codes	Degree of endangerment	Alternate names	Name in the language	Number of speakers	Sources	Latitude	Longitude	Description of the location
Milang	Definitely endangered	2	2000	28.488	95.2954		Milang    	1	1	0				1192	Milang		India	IND	adi	Definitely endangered	Adi		2000		28.488		"Arunachal Pradesh, East Siang Dt., mostly in the village of Milang"
Motuo_M	Definitely endangered	2	9000	28.664	94.0347		Motuo_M   	0	0	0				1219	Motuo Menba		"China, India"	"CHN, IND"	tsj	Definitely endangered	Eastern Monpa		9000	Bradley 2007	28.664	94.0347	"Arunachal Pradesh, West Siang Dt., esp. in and around Menchuka "
Muya	Vulnerable	1	12000	30.2593	101.7497		Muya      	1	1	0				2435	Muya		China	CHN	mvm	Vulnerable	Menyak		12000	Bradley 2007	30.2593	101.7497	
Mzieme	Vulnerable	1	29000	25.6019	93.8891		Mzieme							1146	Mzieme		India	IND	nme	Vulnerable			29000		25.6019	93.8891	"Nagaland, Kohima Dt.; Manipur, Tamenglong Dt."
N_Qiang	Vulnerable	1	58000	32.17	103.12		N_Qiang   	0	1	1					Northern Qiang		China			Vulnerable			58000		32.17	103.12	
Namuzi	Vulnerable	1	5000	28.0727	101.9565		Namuzi    	1	0	0					Namuyi		China			Vulnerable			5000		28.0727	101.9565	
Ninglang_Naxi	Safe	0	40000	27.8	100.9		Ninglang_Naxi	0	0	0					Yongning Naxi		China			Safe			40000		27.8	100.9	
Nishi	Safe	0	5000	23.42	104.85		Nishi     	1	0	0					Nisi					Safe			5000		23.42	104.85	
Nocte	Vulnerable	1	33000	27.1618	95.7952		Nocte     	1	0	0				1106	Nocte		India	IND	njb	Vulnerable			33000		27.1618	95.7952	"Arunachal Pradesh, Tirap Dt."
Nusu	Safe	0	13000	26.73	98.88		Nusu      	0	1	1							China			Safe			13000		26.73	98.88	
Old_Chinese							Old_Chinese	1	0	0																	
Pa_O	Safe	0	1500000	20.21	97.6	Agamous	Pa_O								Karen Pao		Myanmar			Safe			1500000		20.21	97.6	
Padam	Vulnerable	1	20000	28.2463	95.3668		Padam     	1	0	0				985	Padam		India	IND		Vulnerable	Adi		20000		28.2463	95.3668	"Arunachal Pradesh, mostly in East Siang Dt.,; some in Lower Dibang Valley Dt."
Padaung																											
Palaichi																											
Phom	Vulnerable	1	123000	26.7799	94.9493		Phom      	1	0	0				1129	Phom		India	IND	nph	Vulnerable			123000		26.7799	94.9493	"Nagaland, Tuensang Dt."
Pochuri	Vulnerable	1	17000	25.6712	94.779		Pochuri   	1	0	0				1142	Pochuri		India	IND	npo	Vulnerable	Pochury		17000		25.6712	94.779	"Nagaland, Phek Dt."
Pumi1	Vulnerable	1	60000	28	101		Pumi1     	1	0	1					Pumi South					Vulnerable			60000		28	101	
Pumi2	Vulnerable	1	32300	28	101		Pumi2     	0	0	1					Pumi North					Vulnerable			32300		28	101	
Queyu	Definitely endangered	2	7000	30.8519	99.6659		Rabha     	1	0	0					Choyi					Definitely endangered			7000		30.8519	99.6659	
Rabha	Vulnerable	1	150000	25.9284	90.9777		Rengma    	1	0	0					Rabha		India			Vulnerable			150000		25.9284	90.9777	
Rawang	Safe	0	63000	27.1	97.07		Rourou    	1	0	0					Rawang		India			Safe			63000		27.1	97.07	
Rengma	Vulnerable	1	61000	25.958	94.2462	Endogamy	Sangtam   	1	1	0				1139	Rengma		India	IND	"nnl, nre"	Vulnerable	"Rengma is often divided into 'northern' and 'southern,' and even 'eastern' varieties.  I have opted for 'Rengma' to cover them all for convenience and clarity, and until further field data is collected"		61000		25.958	94.2462	"Nagaland, Kohima Dt."
Rourou	Definitely endangered	2	2100	26.1554	99.2944		Rourou								Zaozou		China			Definitely endangered			2100		26.1554	99.2944	
S_Qiang	Vulnerable	1	81300	31.51	103.5		S_Qiang   	0	1	1					South Qiang		China			Vulnerable			81300		31.51	103.5	
Sangtam	Vulnerable	1	84000	26.6032	94.9603		Sangtam							1133	Sangtam		India	IND	nsa	Vulnerable			84000		26.6032	94.9603	"Nagaland, Tuensang Dt."
Sema	Vulnerable	1	100000	25	94.2	Endogamy	Sema      	1	0	0					Sema		India			Vulnerable			100000		25	94.2	
Serdukpen	Vulnerable	1	3000	27.1935	92.351		Serdukpen 	1	0	0				1096	Sherdukpen		India	IND	sdp	Vulnerable			3000		27.1935	92.351	
Sgaw	Safe	0	3000000	17.99	97.71		Sgaw      	0	1	0					Karen Sgaw					Safe			3000000		17.99	97.71	
Shaiyang	Extinct	5																		Extinct							
Sherpa	Vulnerable	1	143693	27.739	86.839	Agamous	Sherpa    	1	1	1				1128	Sherpa		"China, India, Nepal"	"CHN, IND, NPL"	xsr	Vulnerable	____‚š___‚__Ž___		143693	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.739	86.839	Solukhumbu district and around Mt Everest
Shixing	Definitely endangered	2	1800	28.5263	100.4734		Shixing   	1	0	0				2437	Shixing		China	CHN	sxg	Definitely endangered	Xumi		1800	Bradley 2007	28.5263	100.4734	
Sulong	Definitely endangered	2	6000	27.839	92.8784		Sulong    	1	0	0				1100	Sulung		"China, India"	"CHN, IND"	suv	Definitely endangered	Puroik		6000	Bradley 2007	27.839	92.8784	"Arunachal Pradesh, northeast corner of East Kameng Dt."
Sunwar	Vulnerable	1	26611	27.3485	86.2337		Sunwar							1105	Sunwar		Nepal	NPL	suz	Vulnerable	__ô_‚__Œ__µ_____; Sunuwar; Sunbar; Sonowar; Sonowal; Ko—©c		26611	"Borchers, DÕ_rte. 2008. Personal communication.
Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com
"	27.3485	86.2337	"R—mech—p, Okhalöôhuö_€g— and Sindhul—‰ districts, Likhu and Khimt—‰ river valleys"
Tagin	Vulnerable	1	30000	28.038	94.2022		Tagin     	1	0	0				979	Tagin		India	IND		Vulnerable	Tagen		30000		28.038	94.2022	"Arunachal Pradesh, Lower Subansiri and Upper Subansiri districts; concentration in town of Daporijo "
Tamang	Vulnerable	1	1196639	27.7365	85.6858		Tamang    	1	1	1				1114	Tamang		"India, Nepal"	"IND, NPL"	"taj, tge, tmk, tsf, tdg"	Vulnerable	________å_____é; ________å_____é_‚__‹; Murmi (obsolete)		1196639	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.7365	85.6858	"Dispersed throughout central and eastern hills of Nepal. B—gmat—‰, N—r—yaö_š—‰ and Janakpur zones, in K—bhrep—laÕ±cok, Makv—npur, SIndhup—lcok, Nuv—koö__, Dh—diö_€, Sindhul—‰, R—mech—p, Bagmat—‰, Dolakh— and Rasuv— districts. Also found in India (Sikkim)."
Tangkul	Vulnerable	1	142000	25.0358	94.4824		Tangkul   	1	0	0				1154	Tangkhul		India	IND	nmf	Vulnerable			142000		25.0358	94.4824	"Manipur, Ukhrul Dt.;; Nagaland, Phek Dt. Also spoken in Burma"
Taraon	Vulnerable	1	9332	28.12	95.88		Taraon    	1	0	0				2259	Taruang		"China, India, Myanmar"	"CHN, IND, MMR"	mhu	Vulnerable	"Digaru Mishmi, Taraon, Darang Deng"		9332	Bradley 2006	28.12	95.88	
Thakali	Vulnerable	1	6441	28.7146	83.6478		Thakali   	1	0	0				1115	Thakali		Nepal	NPL	ths	Vulnerable	__‚__Ç_______‚Ñ; Tapang; Thaksya		6441	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	28.7146	83.6478	K—l—‰ Gaö_šöôak—‰ river valley
Tiddim	Safe	0	100000	23.61	93.52		Tiddim    	1	0	0										Safe			100000		23.61	93.52	
Tujia	Severely endangered	3	60000	28.828	109.5904		Tujia							2439	Northern Tujia		China	CHN	tji	Severely endangered	Biji		60000	Bradley 2007	28.828	109.5904	
Upper_Bangni							Upper_Bangni	1	0	0																	
W_Kayah	Safe	0	187000	18.69	97.49		W_Kayah								Kayah					Safe			187000		18.69	97.49	
Wancho	Vulnerable	1	49000	26.9759	95.4656		Wancho    	1	0	0					Wancho					Vulnerable			49000		26.9759	95.4656	
Writ_Tib	Safe	0				Agamous																					
